Country (or dependent territory),2024,2030,2050,2100
 Afghanistan,"42,647,492","50,039,402","76,885,134","130,216,739"
 Albania,"2,791,765","2,671,885","2,240,166","1,184,997"
 Algeria,"46,814,308","50,154,166","59,565,554","64,487,527"
 American Samoa,"46,765","42,958","37,545","32,293"
 Andorra,"81,938","85,682","82,195","47,222"
 Angola,"37,885,849","45,160,458","74,295,394","150,045,574"
 Anguilla,"14,598","14,977","14,552","9,309"
 Antigua and Barbuda,"93,772","96,000","95,055","67,975"
 Argentina,"45,696,159","46,585,022","48,308,944","38,255,990"
 Armenia,"2,973,840","2,851,291","2,495,207","1,692,198"
 Aruba,"108,066","107,864","100,002","75,170"
 Australia,"26,713,205","28,188,539","32,506,969","43,143,685"
 Austria,"9,120,813","9,080,346","8,724,332","7,399,328"
 Azerbaijan,"10,336,578","10,665,380","11,224,923","10,021,320"
 Bahamas,"401,283","410,266","424,265","384,955"
 Bangladesh,"174,701,211","184,424,144","203,904,900","176,366,038"
 Barbados,"282,309","283,082","267,788","203,022"
 Bahrain,"1,607,049","1,765,209","2,139,464","3,090,323"
 Belize,"416,656","450,428","538,838","562,797"
 Belarus,"9,455,037","9,206,170","8,409,632","6,469,457"
 Belgium,"11,715,774","11,873,460","12,090,657","11,521,156"
 Benin,"14,080,072","16,393,827","25,264,035","46,617,384"
 Bermuda,"63,935","62,806","56,041","36,985"
 Bolivia,"12,567,336","13,625,507","16,609,854","18,861,521"
 Bonaire,"27,272","27,904","28,735","28,971"
 Bulgaria,"6,618,615","6,290,166","5,187,392","2,943,542"
 Bosnia and Herzegovina,"3,194,378","3,111,789","2,739,014","1,739,032"
 Botswana,"2,719,694","2,972,271","3,679,340","4,177,614"
 Brazil,"217,637,297","223,908,968","230,885,725","184,547,593"
 British Virgin Islands,"31,763","32,995","34,768","31,668"
 Brunei,"455,858","473,312","498,373","404,521"
 Burkina Faso,"23,840,247","27,523,563","40,541,548","61,539,300"
 Burundi,"13,591,657","15,800,530","24,208,671","39,388,467"
 Bhutan,"792,382","821,498","874,294","654,430"
 United Kingdom,"67,961,439","69,175,770","71,684,966","70,485,072"
 Hungary,"9,994,993","9,642,912","8,817,396","6,929,830"
 United States Virgin Islands,"98,055","93,419","77,519","37,962"
 Gabon,"2,484,557","2,774,523","3,757,053","5,268,088"
 Haiti,"11,867,030","12,700,006","15,087,520","16,109,408"
 Guyana,"819,594","848,033","878,746","632,627"
 Gambia,"2,841,803","3,263,651","4,673,743","6,667,396"
 Ghana,"34,777,522","38,775,850","52,231,785","72,826,468"
 Guadeloupe,"396,346","399,728","388,861","318,692"
 Guatemala,"18,358,430","20,003,638","24,600,727","26,170,739"
 Guinea-Bissau,"2,197,149","2,484,863","3,445,289","4,765,962"
 Guinea,"14,528,770","16,622,388","23,711,700","34,178,283"
 Germany,"83,252,474","82,762,675","78,932,228","68,936,102"
 Guernsey,"63,788","65,141","66,496","56,453"
 Gibraltar,"32,718","32,771","31,356","23,865"
 Honduras,"10,759,406","11,724,522","14,258,514","15,166,663"
 Palestine,"5,494,963","6,256,949","8,861,747","12,805,184"
 Grenada,"126,887","130,367","136,253","115,630"
 Greenland,"56,789","57,152","53,997","40,586"
 Greece,"10,302,720","10,059,703","9,144,951","6,380,722"
 Georgia,"3,717,425","3,657,494","3,384,660","2,366,909"
 Guam,"174,114","180,746","195,673","183,221"
 Denmark,"5,939,695","6,104,474","6,445,109","7,093,770"
 Jersey,"112,843","119,047","135,441","161,397"
 Djibouti,"1,152,329","1,247,129","1,502,575","1,676,909"
 Dominica,"73,368","74,988","74,167","52,912"
 Dominican Republic,"11,434,005","11,982,523","13,180,541","11,908,081"
 Egypt,"114,484,252","125,151,725","160,339,889","205,225,076"
 Western Sahara,"598,385","662,726","851,067","1,121,874"
 Israel,"9,311,652","10,134,951","12,991,790","18,410,403"
 India,"1,441,719,852","1,514,994,080","1,670,490,596","1,529,850,119"
 Indonesia,"279,798,049","292,150,100","317,225,213","296,623,475"
 Jordan,"11,384,922","11,933,395","15,005,941","17,625,253"
 Iraq,"46,523,657","52,800,825","74,515,140","111,503,537"
 Iran,"89,809,781","92,921,017","99,007,204","79,906,390"
 Ireland,"5,089,478","5,266,881","5,724,686","5,722,314"
 Iceland,"377,689","390,338","408,783","368,486"
 Spain,"47,473,373","47,076,573","44,219,565","30,880,752"
 Italy,"58,697,744","57,544,258","52,250,484","36,874,247"
